dataset,accuracy
ETHANOLCONCENTRATION,35.7
FACEDETECTION,68.6
HANDWRITING,32.1
HEARTBEAT,78.0
JAPANESEVOWELS,98.4
PEMS-SF,89.6
SELFREGULATIONSCP1,91.8
SELFREGULATIONSCP2,57.2
SPOKENARABICDIGITS,99.0
UWAVEGESTURELIBRARY,85.3
