dataset,mse,mae
ECL,0.165,0.265
Traffic,0.423,0.298
Weather,0.239,0.291
ETTh1,0.426,0.444
ETTh2,0.518,0.493
ETTm1,0.357,0.381
ETTm2,0.282,0.345
