dataset,mse,mae
ECL,0.169,0.268
Traffic,0.391,0.275
Weather,0.226,0.268
ETTh1,0.412,0.435
ETTh2,0.398,0.440
ETTm1,0.349,0.385
ETTm2,0.261,0.318
