dataset,mse,mae
ECL,0.211,0.306
Traffic,0.4660,0.287
Weather,0.241,0.271
ETTh1,0.437,0.437
ETTh2,0.367,0.396
ETTm1,0.382,0.397
ETTm2,0.274,0.322
