dataset,accuracy
ETHANOLCONCENTRATION,30.0
FACEDETECTION,68.9
HANDWRITING,35.1
HEARTBEAT,73.7
JAPANESEVOWELS,95.7
PEMS-SF,85.5
SELFREGULATIONSCP1,88.7
SELFREGULATIONSCP2,55.0
SPOKENARABICDIGITS,99.4
UWAVEGESTURELIBRARY,90.0
