dataset,mse,mae
ECL,0.265,0.358
Traffic,0.630,0.347
Weather,0.308,0.329
ETTh1,0.505,0.513
ETTh2,0.407,0.446
ETTm1,0.514,0.475
ETTm2,0.374,0.401
