dataset,accuracy
ETHANOLCONCENTRATION,36.3
FACEDETECTION,70.8
HANDWRITING,30.6
HEARTBEAT,77.2
JAPANESEVOWELS,98.8
PEMS-SF,89.1
SELFREGULATIONSCP1,93.4
SELFREGULATIONSCP2,60.3
SPOKENARABICDIGITS,98.7
UWAVEGESTURELIBRARY,86.7
