dataset,mse,mae
ECL,0.311,0.397
Traffic,0.764,0.416
Weather,0.634,0.548
ETTh1,1.040,0.795
ETTh2,4.431,1.729
ETTm1,0.961,0.734
ETTm2,1.410,0.810
