dataset,mse,mae
ECL,0.182,0.272
Traffic,0.484,0.297
Weather,0.240,0.271
ETTh1,0.447,0.440
ETTh2,0.364,0.395
ETTm1,0.381,0.395
ETTm2,0.275,0.323
