dataset,mse,mae
ECL,0.227,0.3300
Traffic,0.62775,0.37875
Weather,0.33775,0.3815
ETTh1,0.4538,0.4618
ETTh2,0.395,0.4256
ETTm1,0.5116,0.4778
ETTm2,0.2724,0.3376
