dataset,mse,mae
ECL,0.201,0.303
Traffic,0.602,0.322
Weather,0.264,0.293
ETTh1,0.495,0.491
ETTh2,0.414,0.427
ETTm1,0.399,0.406
ETTm2,0.314,0.333
