dataset,mse,mae
ECL,0.155,0.246
Traffic,0.374,0.255
Weather,0.240,0.273
ETTh1,0.409,0.430
ETTh2,0.352,0.402
ETTm1,0.359,0.382
ETTm2,0.271,0.322
