dataset,mse,mae
ECL,0.244,0.334
Traffic,0.550,0.304
Weather,0.259,0.315
ETTh1,0.529,0.522
ETTh2,0.942,0.684
ETTm1,0.513,0.496
ETTm2,0.757,0.610
